Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,8.252628,8.674409,8.252628,8.674230,8.674230,336431152
2024-03-02,8.674182,9.459188,8.615293,9.436101,9.436101,553392267
2024-03-03,9.440377,9.883533,8.785394,9.797440,9.797440,663668776
2024-03-04,9.792800,10.269759,9.644810,9.911171,9.911171,857188708
2024-03-05,9.896360,10.749071,8.366875,9.330388,9.330388,1345409497
2024-03-06,9.330403,10.557882,8.943415,10.514227,10.514227,783733356
2024-03-07,10.514227,10.989618,10.267990,10.422066,10.422066,585840471
2024-03-08,10.421943,10.710166,10.004077,10.665132,10.665132,609067054
2024-03-09,10.665156,10.965413,10.449006,10.522543,10.522543,449980303
2024-03-10,10.522548,10.574632,9.995623,10.278813,10.278813,388874905
2024-03-11,10.278987,11.238323,9.958825,11.036377,11.036377,733295312
2024-03-12,11.036377,11.142627,10.184982,10.726625,10.726625,566762255
2024-03-13,10.727692,11.321082,10.658048,11.321082,11.321082,569338750
2024-03-14,11.321287,11.882433,10.751775,11.542902,11.542902,954859836
2024-03-15,11.542891,11.678496,10.075046,10.838364,10.838364,916276315
2024-03-16,10.838364,10.886320,9.521222,9.696842,9.696842,587580190
2024-03-17,9.696842,10.240717,9.241060,10.115609,10.115609,466294928
2024-03-18,10.078954,10.442527,9.614564,9.907398,9.907398,461962142
2024-03-19,9.907398,9.980661,8.604706,8.764359,8.764359,607301835
2024-03-20,8.764359,9.557974,8.510773,9.491859,9.491859,530907741
2024-03-21,9.491859,9.577512,9.071198,9.172894,9.172894,341959124
2024-03-22,9.172805,9.353451,8.724851,8.919258,8.919258,296569819
2024-03-23,8.919258,9.217262,8.880111,8.982089,8.982089,189986287
2024-03-24,8.982227,9.429479,8.974256,9.369309,9.369309,193041938
2024-03-25,9.369295,9.820473,9.294102,9.737619,9.737619,300666153
2024-03-26,9.737619,10.052383,9.539748,9.690575,9.690575,360756482
2024-03-27,9.690575,9.794322,9.314149,9.443778,9.443778,325392728
2024-03-28,9.443778,9.648926,9.302929,9.516781,9.516781,259183583
2024-03-29,9.516781,9.797361,9.364840,9.596235,9.596235,293826300
2024-03-30,9.596660,9.693849,9.398588,9.433737,9.433737,173787689
2024-03-31,9.433737,9.642940,9.426131,9.642626,9.642626,152565004
2024-04-01,9.642613,9.731354,8.941884,9.161061,9.161061,305782869
2024-04-02,9.161039,9.161091,8.390344,8.578613,8.578613,339528418
2024-04-03,8.578601,8.777227,8.296482,8.433555,8.433555,257058637
2024-04-04,8.433549,8.707253,8.279358,8.490893,8.490893,238433578
2024-04-05,8.490840,8.508145,8.094187,8.389035,8.389035,227938545
2024-04-06,8.389035,8.547805,8.344803,8.494186,8.494186,156072071
2024-04-07,8.493989,8.737575,8.467881,8.706726,8.706726,184130993
2024-04-08,8.706726,9.081189,8.577801,9.044649,9.044649,255986859
2024-04-09,9.044662,9.102187,8.638288,8.660052,8.660052,301146995
2024-04-10,8.660017,8.686889,8.192951,8.418901,8.418901,300776050
2024-04-11,8.418827,8.515911,8.201010,8.379441,8.379441,220806144
2024-04-12,8.379780,8.482064,6.600109,7.241089,7.241089,650188288
2024-04-13,7.241166,7.324754,5.810125,6.417978,6.417978,670503551
2024-04-14,6.417978,6.922496,6.224711,6.869346,6.869346,511526862
2024-04-15,6.869346,7.203770,6.458697,6.712531,6.712531,344174099
2024-04-16,6.712434,6.811183,6.392068,6.700047,6.700047,239057451
2024-04-17,6.700076,6.766925,6.356700,6.579627,6.579627,202508444
2024-04-18,6.579669,6.818521,6.459134,6.785523,6.785523,179384204
2024-04-19,6.785523,6.910538,6.298626,6.687658,6.687658,279495726
2024-04-20,6.687607,7.276090,6.622832,7.234263,7.234263,168418299
2024-04-21,7.234401,7.287929,6.984336,7.135029,7.135029,149501379
2024-04-22,7.135029,7.568669,7.116387,7.477911,7.477911,220628801
2024-04-23,7.477911,7.538659,7.215280,7.244587,7.244587,207206637
2024-04-24,7.244587,7.488140,6.864323,6.930155,6.930155,238265461
2024-04-25,6.930378,6.989291,6.711062,6.862369,6.862369,182874679
2024-04-26,6.862369,6.942327,6.723820,6.758217,6.758217,176487967
2024-04-27,6.758217,6.851877,6.546915,6.798635,6.798635,160600840
2024-04-28,6.798635,6.941549,6.701509,6.723606,6.723606,121036003
2024-04-29,6.723606,6.816175,6.479877,6.591733,6.591733,165873956
2024-04-30,6.591741,6.658287,6.070788,6.422238,6.422238,268360238
2024-05-01,6.422231,6.904794,6.137835,6.883043,6.883043,398713345
2024-05-02,6.883581,7.397714,6.704589,7.285116,7.285116,268770098
2024-05-03,7.285116,7.381487,7.021543,7.255101,7.255101,258847903
2024-05-04,7.255081,7.255157,7.118241,7.127060,7.127060,161650387
2024-05-05,7.127060,7.395767,7.030177,7.306784,7.306784,177269447
2024-05-06,7.306784,7.462007,7.073089,7.122262,7.122262,225357675
2024-05-07,7.122262,7.286386,6.994541,6.996739,6.996739,176649888
2024-05-08,6.996739,7.179063,6.908950,6.990119,6.990119,192829781
2024-05-09,6.990107,7.084794,6.790246,7.050120,7.050120,170326766
2024-05-10,7.050158,7.144004,6.712247,6.749962,6.749962,184632969
2024-05-11,6.749966,6.801717,6.642406,6.659228,6.659228,118680608
2024-05-12,6.659227,6.785959,6.601149,6.620379,6.620379,96206969
2024-05-13,6.620379,6.818122,6.440234,6.665498,6.665498,173695911
2024-05-14,6.665469,6.692512,6.474983,6.478902,6.478902,159527216
2024-05-15,6.478931,7.017347,6.470198,6.963480,6.963480,239221408
2024-05-16,6.963544,7.059907,6.827576,7.029125,7.029125,193239228
2024-05-17,7.029125,7.290482,7.008498,7.196756,7.196756,235632961
2024-05-18,7.196850,7.224698,7.075814,7.161953,7.161953,132802922
2024-05-19,7.161965,7.176050,6.901474,6.937535,6.937535,130335901
2024-05-20,6.937535,7.575380,6.868141,7.575030,7.575030,260338772
2024-05-21,7.575030,7.657810,7.435469,7.613662,7.613662,284995754
2024-05-22,7.613662,7.690678,7.387515,7.454471,7.454471,241724928
2024-05-23,7.454471,7.593684,6.948571,7.200774,7.200774,381531543
2024-05-24,7.200774,7.375998,7.030993,7.244291,7.244291,211685490
2024-05-25,7.244316,7.432282,7.230024,7.428138,7.428138,133937935
2024-05-26,7.428138,7.631361,7.373900,7.547234,7.547234,176701530
2024-05-27,7.547234,7.762155,7.381902,7.628291,7.628291,222498639
2024-05-28,7.628291,7.652020,7.288394,7.367073,7.367073,279082891
2024-05-29,7.367073,7.543122,7.144911,7.172422,7.172422,243596665
2024-05-30,7.172430,7.227708,6.930857,6.997860,6.997860,218551016
2024-05-31,6.997860,7.045055,6.814091,6.987147,6.987147,176610947
2024-06-01,6.987144,7.123994,6.959850,7.058612,7.058612,117043124
2024-06-02,7.058614,7.117108,6.930428,6.989040,6.989040,134459964
2024-06-03,6.989049,7.176098,6.947174,7.010249,7.010249,203470309
2024-06-04,7.010249,7.229270,6.947959,7.187405,7.187405,176200639
2024-06-05,7.187405,7.288292,7.158897,7.248728,7.248728,171196834
2024-06-06,7.248750,7.279625,7.068440,7.142014,7.142014,154128107
2024-06-07,7.142000,7.278182,6.168392,6.657767,6.657767,363773564
2024-06-08,6.657566,6.672650,6.350043,6.388424,6.388424,197471477
2024-06-09,6.388192,6.532756,6.378783,6.522763,6.522763,195475434
2024-06-10,6.523529,6.568326,6.369579,6.507447,6.507447,220599250
2024-06-11,6.506754,6.516393,6.232788,6.379897,6.379897,289201631
2024-06-12,6.380321,6.916798,6.293917,6.741717,6.741717,280376858
2024-06-13,6.741591,6.741591,6.345220,6.360072,6.360072,177868866
2024-06-14,6.359529,6.476307,6.051518,6.162761,6.162761,212559940
2024-06-15,6.162670,6.248478,6.113218,6.221013,6.221013,108320418
2024-06-16,6.221359,6.417225,6.157322,6.388068,6.388068,130776707
2024-06-17,6.387890,6.408695,6.005823,6.073915,6.073915,185556256
2024-06-18,6.072539,6.080058,5.545482,5.775651,5.775651,349859142
2024-06-19,5.774956,5.985485,5.735601,5.794212,5.794212,169602545
2024-06-20,5.794212,5.966136,5.605885,5.640769,5.640769,162420088
2024-06-21,5.640611,5.727128,5.556007,5.611062,5.611062,154582654
2024-06-22,5.610779,5.797319,5.546116,5.747870,5.747870,120663154
2024-06-23,5.747809,5.806874,5.621042,5.644892,5.644892,101792780
2024-06-24,5.645191,5.730960,5.475927,5.724685,5.724685,230924758
2024-06-25,5.724759,5.963014,5.709228,5.842495,5.842495,163348129
2024-06-26,5.842372,5.943254,5.777820,5.793277,5.793277,135278947
2024-06-27,5.793173,6.363744,5.709180,6.281444,6.281444,260245970
2024-06-28,6.280706,6.419428,6.153143,6.174601,6.174601,179031807
2024-06-29,6.174864,6.285307,6.061954,6.072340,6.072340,94858682
2024-06-30,6.071981,6.244704,6.026981,6.208573,6.208573,110717916
2024-07-01,6.208347,6.434625,6.192641,6.330221,6.330221,179707677
2024-07-02,6.330424,6.590687,6.322027,6.514821,6.514821,248756210
2024-07-03,6.514903,6.530626,5.998509,6.069333,6.069333,269805022
2024-07-04,6.069485,6.122413,5.556381,5.559064,5.559064,381566518
2024-07-05,5.556714,5.902951,4.987698,5.665741,5.665741,604311813
2024-07-06,5.668899,6.304223,5.644065,6.241476,6.241476,346223277
2024-07-07,6.241156,6.298781,5.889054,5.906263,5.906263,202810887
2024-07-08,5.907637,6.276505,5.725105,5.944755,5.944755,257760504
2024-07-09,5.943953,6.173306,5.859730,6.114080,6.114080,202718308
2024-07-10,6.114542,6.252008,6.063803,6.098881,6.098881,167142776
2024-07-11,6.098539,6.237524,5.902581,5.904893,5.904893,141984692
2024-07-12,5.904808,6.099208,5.810904,6.099208,6.099208,142923900
2024-07-13,6.099344,6.299225,6.081786,6.244008,6.244008,116024543
2024-07-14,6.242613,6.348679,6.169005,6.328078,6.328078,146384445
2024-07-15,6.328364,6.535531,6.304654,6.498557,6.498557,236126117
2024-07-16,6.496417,6.506252,6.149690,6.344223,6.344223,227737448
2024-07-17,6.343821,6.527833,6.257976,6.259861,6.259861,184124455
2024-07-18,6.258707,6.396080,6.045522,6.093573,6.093573,183527904
2024-07-19,6.093509,6.349837,6.016586,6.346135,6.346135,168630679
2024-07-20,6.346166,6.396585,6.235893,6.337130,6.337130,115131117
2024-07-21,6.337136,6.438455,6.125215,6.419742,6.419742,142963618
2024-07-22,6.419788,6.472462,6.091779,6.107129,6.107129,364398964
2024-07-23,6.107129,6.158688,5.820265,5.918870,5.918870,168141654
2024-07-24,5.918716,5.994307,5.686783,5.748385,5.748385,132448835
2024-07-25,5.748385,5.773935,5.553193,5.753999,5.753999,167003222
2024-07-26,5.753999,5.885101,5.733807,5.870022,5.870022,130011270
2024-07-27,null,null,null,null,null,null
2024-07-28,5.829837,5.838716,5.695377,5.750724,5.750724,127401560
